시군구,스포츠,역사,자연힐링,문화예술,맛집
영덕군,0.24018063980821272,0.6024266251267215,0.956685608053597,0.19381598793363497,1.0834473324213407
통영시,1.5585371962928947,0.4182569232194128,1.737244676227727,0.8957504298698109,1.3473393772171858
의성군,0.2752140488726663,1.4576022086802278,0.31443817962142573,0.16345448567164933,0.0
함양군,0.1768864400768825,0.6669864671581032,0.9053949406298399,0.35441591284894464,0.0
김천시,1.0148138577081482,0.42639344262295087,0.0,0.0,0.09976744186046513
장수군,0.18421783828841345,0.3542372881355932,1.0270534550195567,0.19696225333660852,0.0
광진구,1.939255101216777,0.304442001625006,0.0,1.2905311192800102,2.198386331276697
구례군,0.022727272727272728,0.5699080973671138,0.8353729603729603,0.0,0.20771670190274844
완주군,0.29748203181781474,0.9765027322404372,0.37923076923076926,1.1969082125603863,0.26930232558139533
은평구,1.5047161430994105,0.4729742388758782,0.0,0.7449965493443754,0.5043189368770764
구로구,1.8202441519287196,0.10574618428490673,0.0,0.7366525070797935,0.8269847634322374
파주시,1.9245154251638474,1.351912568306011,0.02553329023917259,1.5987902407339747,3.2710084033613445
하동군,0.20537136690330587,1.0468107302533531,0.32167832167832167,0.38098375054896794,0.46247357293868924
산청군,0.1037670490528186,0.8814182998479806,0.5571621361095045,0.2980730812538593,0.18464766567581745
신안군,0.13703588559556482,0.5234287493983408,1.2491358242111343,0.38927686415859425,0.5971803831786963
나주시,0.4873387369547077,1.5311059634117368,0.023690078037904124,0.5416666666666667,0.08607178968655207
관악구,1.4872472305693574,0.47457865976416447,0.0,1.1427027714213067,2.1679314565483474
고흥군,0.4594375146240607,0.7021700294241278,0.7736359570661897,0.6940728353771832,0.0
강북구,1.2581006707631919,0.21587680079483357,0.0,0.5774044795783926,0.18498942917547567
칠곡군,0.5837598501859058,0.34662495554046624,0.8875739644970415,0.48284166595203387,0.17503784230081187
인제군,0.3622575346480168,0.45569376373162074,0.7356595294739625,0.3831988644852831,0.1006952769120115
철원군,0.7013894019655178,0.22148936170212766,0.30455537370430985,0.0,0.0
진도군,0.3440642509123491,0.2823764915802387,0.5672349798595646,1.0174258109040717,0.0
서대문구,1.1202051199224745,0.724207650273224,0.0,1.7660370634354954,1.8874380480365993
춘천시,1.6241399452253042,1.312121212121212,0.39335664335664333,1.8966588966588969,1.7654903236298582
광주시,2.0123544784984557,0.5609289617486338,0.018617614269788182,0.7548309178743962,1.7261880687563198
논산시,0.5381080640283247,1.0076181292189006,0.11063348416289592,0.44876385336743396,0.17482900136798907
화천군,0.3831327895771084,0.721712204007286,0.06837606837606837,0.16666666666666666,0.0
남원시,0.4040342861710866,0.7695429706905117,0.5271950271950272,1.007685551163812,0.2547568710359408
성주군,0.30533883167957454,0.8974017274810506,0.05148883374689826,0.37817515973196203,0.10202550637659416
음성군,0.5069110147819751,0.7310141706029454,0.4763146458061712,0.24891509047736016,0.0
거제시,1.429257625384902,0.5637499834610143,0.8730349797358075,0.3792913873975038,2.310940931358748
진안군,0.1117281282213281,0.788030031684805,0.8147489765136824,0.41983315065156496,0.0
예천군,0.25184347716851957,0.8662173649058895,0.3730769230769231,0.3794685990338164,0.09198966408268734
합천군,0.16927851644356412,1.26125046096081,0.3889019977977033,0.3680166562935301,0.0
사천시,1.2366942798219327,0.4359816441747426,0.21407505510036667,0.33112472308965224,0.3453681099832969
