,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
50,경기도 안양시 만안구,321787.0,829685.7142857143,6854442.0,4009598.0,1899660.0,1849214.619047619,10644199.714285713,65305.952380952374,3717.0,26550110.0
51,경기도 양주시,264408.0,2238312.7142857146,4132705.0,2366331.0,2003808.0,381302.61904761905,16712266.714285713,1013412.9523809524,457082.0,29642128.0
52,경기도 양평군,4194487.0,1644069.0,2097096.0,965119.0,5262970.0,1170664.0,13456244.0,1093290.0,90369.0,29532404.0
53,경기도 여주시,358287.0,8156051.714285715,845905.0,3756640.0,1027387.0,580752.6190476189,8347122.714285715,157370.95238095237,85128.0,23386911.0
54,경기도 연천군,958540.0,702827.7142857143,887412.0,98951.0,1546438.0,766298.6190476189,2163540.7142857146,767454.9523809524,100564.0,8064446.0
55,경기도 오산시,137361.0,383370.0,1650122.0,10225936.0,1098116.0,186821.0,11875545.0,312905.0,5382.0,25626985.0
56,경기도 용인시 기흥구,84631.0,6211519.714285715,3002846.0,17256945.0,1062013.0,2528247.6190476194,21387784.714285716,0.0,19094.0,51604154.0
57,경기도 용인시 수지구,68291.0,8950.714285714288,1029620.0,11289353.0,648920.0,199875.61904761905,17597771.714285716,0.0,12360.0,30900951.0
58,경기도 용인시 처인구,3929627.0,6885730.714285715,8132168.0,3344187.0,3969236.0,420066.61904761905,15946331.714285713,472506.9523809524,355181.0,43527100.0
59,경기도 의왕시,443901.0,194711.71428571426,1948557.0,6469690.0,631695.0,514644.61904761905,14960096.714285713,313429.9523809524,35819.0,25585045.0
60,경기도 의정부시,524622.0,933443.0,2424563.0,12294963.0,1339626.0,165827.0,19712171.0,25655.0,8923.0,37180849.0
61,경기도 이천시,1947826.0,7772023.714285715,2406223.0,5322769.0,2298070.0,345716.61904761905,14149461.714285713,92351.95238095237,1405987.0,35812213.0
62,경기도 파주시,5706142.0,3770112.0,4351213.0,8583487.0,2321003.0,780140.0,22630030.0,612170.0,234965.0,48546386.0
63,경기도 평택시,1186168.0,557986.7142857143,4582652.0,9598907.0,2409139.0,135723.61904761905,23458555.714285716,226619.95238095237,74030.0,42302705.0
64,경기도 포천시,652795.0,5756004.714285715,1934587.0,922133.0,4010604.0,225593.61904761905,9747408.714285713,2837213.9523809524,882922.0,27042032.0
65,경기도 하남시,30910.0,1143239.714285714,3559764.0,29977523.0,574123.0,109547.61904761905,15205955.714285713,0.0,21789.0,50672802.0
66,경기도 화성시,4998922.0,6437210.714285715,7563548.0,13136275.0,6011827.0,1719710.619047619,40229573.71428572,5920354.9523809515,1381154.0,87470201.0
67,경상남도 거제시,1635278.0,522857.0,2580618.0,1023270.0,4989583.0,1217575.0,6319263.0,2776793.0,158145.0,20781271.0
68,경상남도 거창군,1700496.0,521039.7142857143,764545.0,193188.0,664751.0,137253.61904761905,1492539.714285714,504439.9523809524,412488.0,6463307.0
69,경상남도 고성군,760820.0,704421.7142857143,1867113.0,320992.0,1362887.0,453056.61904761905,2014196.714285714,687972.9523809524,54688.0,8298648.0
70,경상남도 김해시,1104222.0,1795374.714285714,3719283.0,11084620.0,2303643.0,827894.6190476189,17254488.714285716,238318.95238095237,141448.0,38541795.0
71,경상남도 남해군,1579050.0,206551.71428571426,452327.0,132296.0,1769226.0,713624.6190476189,1842457.714285714,1043350.9523809524,63313.0,7874777.0
72,경상남도 밀양시,2037917.0,1106075.0,1092994.0,364781.0,2132181.0,1854265.0,3801676.0,1016801.0,117728.0,13485425.0
73,경상남도 사천시,2670391.0,1100183.0000000002,1216281.0,1527101.0,1612090.0,513795.0,4616440.0,1253705.0,22569.0,14283983.0
74,경상남도 산청군,948245.0,66486.0,464589.0,61812.0,1387037.0,1424361.0,1525927.0,516679.0,32402.0,6231073.0
75,경상남도 양산시,787484.0,2857154.7142857146,2424622.0,4718391.0,2567020.0,2877968.6190476194,12554160.714285713,694438.9523809524,50920.0,29604659.0
76,경상남도 의령군,321537.0,595760.7142857143,394384.0,310089.0,353427.0,619332.6190476189,985950.7142857143,119509.95238095237,5856.0,3778348.0
77,경상남도 진주시,2216286.0,193461.0,1276845.0,4235903.0,2402129.0,528961.0,8661257.0,559334.0,12630.0,20047814.0
78,경상남도 창녕군,404127.0,1217698.714285714,1500849.0,259893.0,1713681.0,364721.61904761905,1933357.714285714,642759.9523809524,369701.0,8479374.0
79,경상남도 창원시 마산합포구,2026007.0,3546.7142857142862,2151202.0,4627408.0,2066976.0,345582.61904761905,9978634.714285713,1477466.9523809524,138470.0,22887566.0
80,경상남도 창원시 마산회원구,5920039.0,30622.71428571429,2856888.0,2980462.0,469181.0,260564.61904761905,5534283.714285715,208529.95238095237,1283.0,18334537.0
81,경상남도 창원시 성산구,153355.0,276570.7142857143,4704878.0,10107991.0,4093172.0,497449.61904761905,8476052.714285713,136301.95238095237,38838.0,28557681.0
82,경상남도 창원시 의창구,5178400.0,1102151.714285714,2323079.0,3059209.0,1904634.0,1396203.619047619,12292876.714285713,799786.9523809524,1505452.0,29634884.0
83,경상남도 창원시 진해구,1237566.0,1405291.714285714,1764781.0,2017858.0,881426.0,708666.6190476189,7548261.714285715,411967.9523809524,30228.0,16078546.0
84,경상남도 통영시,1502075.0,232008.0,765007.0,5319621.0,2287676.0,264267.0,3871906.0,590173.0,10657.0,14401486.0
85,경상남도 하동군,1357584.0,128018.0,776209.0,1159267.0,867122.0,1046785.0,1505292.0,261153.0,45634.0,7108144.0
86,경상남도 함안군,440734.0,1193643.0,2736649.0,172934.0,481322.0,1084655.0,3498394.0,105062.0,35635.0,9709939.0
87,경상남도 함양군,475880.0,550880.0,896926.0,89258.0,848049.0,367140.0,998587.0,746941.0,105567.0,4882825.0
88,경상남도 합천군,568755.0,436637.0,1309212.0,75923.0,990564.0,1307601.0,1266127.0,409017.0,39266.0,6364046.0
89,경상북도 경산시,1721107.0,2328806.7142857146,2030808.0,3307846.0,2052383.0,1172536.619047619,14021516.714285713,544262.9523809524,58444.0,27310483.0
90,경상북도 경주시,2555938.0,1722264.714285714,4841429.0,1036180.0,8058553.0,6749278.619047619,14228279.714285713,1057806.9523809524,42787.0,40365421.0
91,경상북도 고령군,517862.0,1753112.0,933825.0,336011.0,449182.0,141601.0,1170675.0,112788.0,96371.0,5472488.0
