기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
경기도 하남시,30910.0,1163954.0,3559764.0,29977523.0,574123.0,113000.0,15226670.0,5067.0,21789.0,50672802.0
경기도 화성시,4998922.0,6457925.0,7563548.0,13136275.0,6011827.0,1723163.0,40250288.0,5947974.0,1381154.0,87470201.0
경상남도 거제시,1635278.0,522857.0,2580618.0,1023270.0,4989583.0,1217575.0,5877359.0,2776793.0,158145.0,20781271.0
경상남도 거창군,1700496.0,541754.0,764545.0,193188.0,664751.0,140706.0,1513254.0,532059.0,412488.0,6463307.0
경상남도 고성군,760820.0,725136.0,1867113.0,320992.0,1362887.0,456509.0,2034911.0,715592.0,54688.0,8298648.0
경상남도 김해시,1104222.0,1816089.0,3719283.0,11084620.0,2303643.0,831347.0,17275203.0,265938.0,141448.0,38541795.0
경상남도 남해군,1579050.0,227266.0,452327.0,132296.0,1769226.0,717077.0,1863172.0,1070970.0,63313.0,7874777.0
경상남도 밀양시,2037917.0,1106075.0,1092994.0,364781.0,2132181.0,1815273.0,3801676.0,1016801.0,117728.0,13485425.0
경상남도 사천시,2670391.0,851611.0,1216281.0,1527101.0,1612090.0,513795.0,4616440.0,1253705.0,22569.0,14283983.0
경상남도 산청군,948245.0,66486.0,464589.0,61812.0,1387037.0,1424361.0,1525927.0,320277.0,32402.0,6231073.0
경상남도 양산시,787484.0,2877869.0,2424622.0,4718391.0,2567020.0,2881421.0,12574875.0,722058.0,50920.0,29604659.0
경상남도 의령군,321537.0,616475.0,394384.0,310089.0,353427.0,622785.0,1006665.0,147129.0,5856.0,3778348.0
경상남도 진주시,2216286.0,193461.0,1276845.0,4235903.0,2402129.0,489969.0,8661257.0,559334.0,12630.0,20047814.0
경상남도 창녕군,404127.0,1238413.0,1500849.0,259893.0,1713681.0,368174.0,1954072.0,670379.0,369701.0,8479374.0
경상남도 창원시 마산합포구,2026007.0,24261.0,2151202.0,4627408.0,2066976.0,349035.0,9999349.0,1505086.0,138470.0,22887566.0
경상남도 창원시 마산회원구,5920039.0,51337.0,2856888.0,2980462.0,469181.0,264017.0,5554998.0,236149.0,1283.0,18334537.0
경상남도 창원시 성산구,153355.0,297285.0,4704878.0,10107991.0,4093172.0,500902.0,8496767.0,163921.0,38838.0,28557681.0
경상남도 창원시 의창구,5178400.0,1122866.0,2323079.0,3059209.0,1904634.0,1399656.0,12313591.0,827406.0,1505452.0,29634884.0
경상남도 창원시 진해구,1237566.0,1426006.0,1764781.0,2017858.0,881426.0,712119.0,7568976.0,439587.0,30228.0,16078546.0
경상남도 통영시,1502075.0,232008.0,765007.0,5319621.0,2287676.0,264267.0,3430002.0,590173.0,10657.0,14401486.0
경상남도 하동군,1357584.0,128018.0,776209.0,1159267.0,867122.0,1007793.0,1505292.0,261153.0,45634.0,7108144.0
경상남도 함안군,440734.0,1193643.0,2736649.0,172934.0,481322.0,1045663.0,3498394.0,105062.0,35635.0,9709939.0
경상남도 함양군,475880.0,550880.0,896926.0,89258.0,848049.0,367140.0,998587.0,550539.0,105567.0,4882825.0
경상남도 합천군,568755.0,436637.0,1309212.0,75923.0,990564.0,1268609.0,1266127.0,409017.0,39266.0,6364046.0
경상북도 경산시,1721107.0,2349521.0,2030808.0,3307846.0,2052383.0,1175989.0,14042231.0,571882.0,58444.0,27310483.0
경상북도 경주시,2555938.0,1742979.0,4841429.0,1036180.0,8058553.0,6752731.0,14248994.0,1085426.0,42787.0,40365421.0
경상북도 고령군,517862.0,1753112.0,933825.0,336011.0,449182.0,102609.0,1170675.0,112788.0,96371.0,5472488.0
경상북도 구미시,2348107.0,1077883.0,2029195.0,3028649.0,2208427.0,596689.0,11097511.0,182623.0,32773.0,22601856.0
경상북도 군위군,373554.0,1763122.0,1095299.0,150904.0,414762.0,431373.0,1934725.0,217795.0,7283.0,6388817.0
경상북도 김천시,3145598.0,619250.0,544612.0,935114.0,1173304.0,1111705.0,3370187.0,301026.0,39904.0,11240701.0
경상북도 문경시,1235918.0,382157.0,843898.0,315241.0,1824916.0,1309507.0,2526472.0,879967.0,351890.0,9669966.0
경상북도 봉화군,1127337.0,27928.0,317418.0,61723.0,536905.0,475986.0,828926.0,638813.0,3375.0,4018452.0
경상북도 상주시,1271222.0,1136136.0,1607375.0,703096.0,1704262.0,368101.0,3956392.0,777874.0,51048.0,11575505.0
경상북도 성주군,470197.0,319076.0,567901.0,198904.0,1798298.0,374111.0,1884865.0,775222.0,86244.0,6474753.0
경상북도 안동시,1918520.0,617153.0,1265010.0,2103207.0,1798144.0,2577223.0,4709760.0,150164.0,136721.0,15276054.0
경상북도 영덕군,412196.0,526635.0,1169239.0,485938.0,1367774.0,81305.0,1565049.0,3376532.0,18998.0,9003846.0
경상북도 영양군,152854.0,42430.0,147211.0,48334.0,225585.0,236503.0,222886.0,452336.0,5321.0,1533445.0
경상북도 영주시,1181394.0,71769.0,630214.0,576367.0,1107177.0,1508896.0,2562700.0,197070.0,59768.0,7895434.0
경상북도 영천시,1308181.0,1750297.0,949986.0,875427.0,1114595.0,1218354.0,3513633.0,367891.0,46474.0,11144838.0
경상북도 예천군,900667.0,622520.0,747036.0,140935.0,393691.0,710169.0,2135086.0,134160.0,319469.0,6103733.0
경상북도 울릉군,300878.0,20724.0,394795.0,6827.0,230770.0,9582.0,309334.0,459877.0,0.0,1732771.0
경상북도 울진군,679155.0,516835.0,626263.0,119363.0,1181194.0,208850.0,1021019.0,2055833.0,738979.0,7147491.0
경상북도 의성군,510173.0,1732983.0,646849.0,299615.0,433039.0,684524.0,1384793.0,550080.0,132723.0,6374777.0
경상북도 청도군,746915.0,984625.0,872564.0,109082.0,1439196.0,1459951.0,2937680.0,376110.0,381415.0,9307352.0
경상북도 청송군,109163.0,3975.0,251774.0,49212.0,1313884.0,196941.0,905471.0,1650694.0,88281.0,4569394.0
경상북도 칠곡군,1645886.0,2153059.0,1843517.0,415226.0,1862383.0,794187.0,8001578.0,1031197.0,569082.0,18316116.0
경상북도 포항시 남구,4850381.0,191011.0,3011962.0,2085687.0,3260277.0,281546.0,9888634.0,2495969.0,100216.0,26165944.0
경상북도 포항시 북구,2107121.0,1004426.0,1762915.0,4947223.0,2810300.0,413477.0,10231135.0,3497369.0,74909.0,26849144.0
광주광역시 광산구,3604330.0,811444.0,3766542.0,6235003.0,3620052.0,100472.0,20175657.0,11504.0,23392.0,38348013.0
광주광역시 남구,571524.0,545284.0,1184205.0,2397885.0,987587.0,286481.0,11965704.0,27318.0,6830.0,17972459.0
광주광역시 동구,214498.0,458531.0,4984774.0,7990436.0,2629171.0,802803.0,12745795.0,1193.0,5370.0,29832869.0
광주광역시 북구,1260373.0,294182.0,8185695.0,5808571.0,2830434.0,411692.0,21994312.0,11425.0,5304.0,40801989.0
광주광역시 서구,4060388.0,218259.0,4519073.0,10343865.0,3713390.0,239147.0,19355582.0,178188.0,1279.0,42628745.0
대구광역시 남구,458427.0,17348.0,2100588.0,3444736.0,1319433.0,331284.0,16087952.0,0.0,5228.0,23764996.0
대구광역시 달서구,467.0,490860.0,7657132.0,11182355.0,3129640.0,147118.0,22055063.0,1646786.0,394649.0,46704070.0
대구광역시 달성군,541359.0,668753.0,6073486.0,576790.0,1121796.0,1114762.0,15151541.0,736227.0,67214.0,26051928.0
대구광역시 동구,10257581.0,560062.0,3858093.0,16345364.0,3550914.0,1344350.0,14092045.0,81445.0,184509.0,50274865.0
대구광역시 북구,642605.0,563791.0,7504843.0,14991338.0,2944891.0,63385.0,14754479.0,202665.0,32109.0,41700523.0
대구광역시 서구,3306999.0,55149.0,567317.0,6383835.0,1259892.0,7307.0,5816170.0,0.0,522.0,17397015.0
대구광역시 수성구,29210.0,692567.0,4314572.0,3282919.0,5123978.0,188382.0,26742559.0,1946468.0,12277.0,42332930.0
대구광역시 중구,180002.0,92419.0,9016737.0,21214398.0,3609166.0,311107.0,19282202.0,0.0,25254.0,53731822.0
대전광역시 대덕구,2494597.0,553418.0,1321369.0,3878033.0,2349052.0,99265.0,10536564.0,388625.0,5407.0,21626329.0
대전광역시 동구,13507099.0,69423.0,1768667.0,3058167.0,1549172.0,62333.0,8922508.0,603243.0,1182.0,29541794.0
대전광역시 서구,389404.0,223945.0,3990020.0,14895342.0,2996764.0,264935.0,24690437.0,2528379.0,8498.0,49987724.0
대전광역시 유성구,883346.0,970505.0,4818251.0,13448992.0,5403394.0,243361.0,23151597.0,30849.0,15179.0,48965964.0
대전광역시 중구,2353756.0,91916.0,7342914.0,6290557.0,1671840.0,178283.0,16618502.0,134580.0,2775.0,34685469.0
부산광역시 강서구,11655398.0,1293080.0,3285410.0,2521439.0,1668727.0,59717.0,11883922.0,972812.0,20684.0,33361187.0
부산광역시 금정구,3173546.0,1638875.0,2003971.0,3504160.0,597591.0,2493047.0,11764202.0,26875.0,151363.0,25353884.0
부산광역시 기장군,585672.0,1897650.0,4105946.0,7221941.0,2923586.0,2426775.0,15486708.0,1924455.0,146877.0,36719242.0
부산광역시 남구,286893.0,256881.0,6103080.0,5037915.0,1679644.0,251285.0,9622346.0,2195695.0,0.0,25433739.0
부산광역시 동구,6304815.0,48465.0,991926.0,6029908.0,4709764.0,174476.0,7087532.0,1578896.0,0.0,26925244.0
부산광역시 동래구,229710.0,172358.0,3656646.0,7911263.0,2718185.0,532770.0,13126979.0,906.0,1835869.0,30185290.0
부산광역시 부산진구,1227559.0,270322.0,7696159.0,25976235.0,7341284.0,1365189.0,17811023.0,3703.0,26538.0,61717396.0
부산광역시 북구,2406314.0,643662.0,1788819.0,4761736.0,1671789.0,127125.0,8708593.0,494696.0,1030.0,20603764.0
부산광역시 사상구,3487819.0,230043.0,2206633.0,7166580.0,2056950.0,148004.0,8669653.0,3358.0,18471.0,23987751.0
부산광역시 사하구,1464811.0,77052.0,1377158.0,4068080.0,934413.0,96214.0,8326957.0,4038319.0,1019.0,20384228.0
부산광역시 서구,2477799.0,125238.0,1775958.0,1512813.0,2626926.0,255906.0,4514187.0,4806651.0,2534.0,18098011.0
부산광역시 수영구,28790.0,212450.0,1227380.0,7605849.0,3004085.0,123102.0,15911262.0,4972724.0,6618.0,33091931.0
부산광역시 연제구,23616.0,71336.0,338663.0,10129688.0,2153953.0,474030.0,11152980.0,0.0,2678.0,24346700.0
부산광역시 영도구,253846.0,167672.0,2431912.0,852555.0,1719139.0,2968997.0,8123075.0,167.0,182869.0,16700401.0
부산광역시 중구,250773.0,8787.0,2745995.0,19200335.0,5514972.0,92941.0,5974271.0,8787.0,0.0,33796862.0
부산광역시 해운대구,1528447.0,808617.0,7308538.0,12861000.0,12847891.0,194259.0,18188218.0,5538161.0,313436.0,59588566.0
강원도 강릉시,1200411.0,573011.0,2443694.0,3653703.0,6121711.0,840480.0,12629269.0,4367806.0,164449.0,31993893.0
강원도 고성군,330270.0,628310.0,853100.0,85791.0,4121695.0,476067.0,3042750.0,2139606.0,42544.0,11720014.0
강원도 동해시,783774.0,172847.0,966719.0,959092.0,2343695.0,110003.0,2584006.0,2822167.0,430.0,10742519.0
강원도 삼척시,705552.0,190531.0,487683.0,351830.0,4161496.0,77705.0,2512123.0,2014872.0,13249.0,10514935.0
강원도 속초시,1264312.0,224353.0,926549.0,3359246.0,5438267.0,102875.0,8516455.0,2406249.0,174372.0,22412903.0
강원도 양구군,309283.0,56687.0,601742.0,67298.0,485991.0,32780.0,652164.0,347662.0,3298.0,2556904.0
강원도 양양군,435622.0,1077915.0,438783.0,331307.0,4366754.0,1360001.0,3569570.0,3303440.0,169041.0,15052583.0
강원도 영월군,379710.0,111376.0,887214.0,410182.0,1782512.0,1314186.0,1031113.0,293085.0,9328.0,6218643.0
강원도 원주시,3085311.0,2876362.0,2589094.0,2889086.0,3494725.0,548525.0,12368104.0,374071.0,48915.0,28274475.0
강원도 인제군,930360.0,404205.0,766902.0,45576.0,1527079.0,918821.0,2157586.0,1495284.0,55621.0,8301599.0
강원도 정선군,622027.0,247313.0,2320201.0,513149.0,2946497.0,79807.0,852993.0,468212.0,2980.0,8053178.0
강원도 철원군,1347667.0,368179.0,921886.0,153051.0,637457.0,544501.0,1689699.0,718585.0,12019.0,6393109.0
강원도 춘천시,1364865.0,4493585.0,3125821.0,1999888.0,3036222.0,259809.0,13451180.0,1167109.0,98008.0,28996486.0
강원도 태백시,805258.0,356980.0,623943.0,415234.0,803549.0,104450.0,1192339.0,445762.0,190.0,4747705.0
강원도 평창군,1386575.0,1157232.0,1967782.0,277041.0,5531214.0,844075.0,3456456.0,371064.0,247325.0,15238764.0
강원도 홍천군,457635.0,3302502.0,2038967.0,49998.0,6398608.0,90308.0,2951737.0,306392.0,28124.0,15624271.0
강원도 화천군,637805.0,203030.0,1350995.0,33242.0,858254.0,29173.0,486122.0,193521.0,11372.0,3803476.0
강원도 횡성군,704083.0,2955510.0,480544.0,222269.0,2903347.0,29890.0,3684866.0,512165.0,47662.0,11540451.0
세종특별자치시 세종특별자치시,2281866.0,1003703.0,3820257.0,3856378.0,1193061.0,242717.0,14472977.0,467647.0,24627.0,27363780.0
울산광역시 남구,2270790.0,272647.0,5401469.0,10299970.0,4160256.0,257776.0,15040602.0,427084.0,2288.0,38132501.0
